,当前组合商品名称,总毛利,总毛利率,每款商品对应的毛利率,每款商品的原始售价,每款商品的折扣毛利,每款商品的折扣率,每款商品的活动价,毛利排名,该组合下客户最终的订单金额
53,红肉菠萝蜜1斤,15.96000000000001,20.2899%,31.97%,38.0,18.8,1.0,3.8000000000000003,192.0,78.66
54,沙洲绿宝瓜1只-约3斤,15.764760000000003,23.7619%,-26.17%,25.3,-9.6,0.1,25.3,193.0,66.34476000000001
55,红肉菠萝蜜1斤,15.764760000000003,23.7619%,55.70%,23.96,18.8,1.0,23.96,193.0,66.34476000000001
56,佳沛阳光金果36#,15.764760000000003,23.7619%,16.48%,21.4564,5.080000000000002,1.0,21.4564,193.0,66.34476000000001
57,凯特芒青1个-约700g,15.764760000000003,23.7619%,20.12%,30.0,8.856399999999999,1.0,3.0,193.0,66.34476000000001
58,花生糖/芝麻粮任选1包(500g),15.330760000000003,33.2333%,29.98%,29.8,11.600000000000001,1.0,29.8,194.0,46.13076
59,凯特芒青1个-约700g,15.330760000000003,33.2333%,31.61%,21.4564,8.856399999999999,1.0,21.4564,194.0,46.13076
60,沙洲绿宝瓜1只-约3斤,14.990000000000006,28.6670%,-23.86%,29.8,-9.6,0.1,29.8,195.0,52.29
61,花生糖/芝麻粮任选1包(500g),14.990000000000006,28.6670%,33.44%,25.3,11.600000000000001,1.0,25.3,195.0,52.29
62,红肉菠萝蜜1斤,14.990000000000006,28.6670%,45.16%,30.0,18.8,1.0,3.0,195.0,52.29
63,奶油草莓,14.790000000000006,12.5350%,-14.75%,69.0,-19.2,0.1,69.0,197.0,117.99
64,优选车厘子XL-1斤,14.790000000000006,12.5350%,40.22%,29.8,22.0,1.0,29.8,197.0,117.99
65,花生糖/芝麻粮任选1包(500g),14.790000000000006,12.5350%,21.96%,28.5,11.600000000000001,1.0,28.5,197.0,117.99
66,网纹瓜1只约3斤,14.790000000000006,12.5350%,18.83%,38.0,13.5,1.0,3.8000000000000003,197.0,117.99
67,沙洲绿宝瓜1只-约3斤,14.594759999999999,13.8110%,-7.71%,69.0,-9.6,0.1,69.0,198.0,105.67476
68,优选车厘子XL-1斤,14.594759999999999,13.8110%,53.01%,23.96,22.0,1.0,23.96,198.0,105.67476
69,佳沛阳光金果36#,14.594759999999999,13.8110%,13.41%,21.4564,5.080000000000002,1.0,21.4564,198.0,105.67476
70,凯特芒青1个-约700g,14.594759999999999,13.8110%,16.36%,30.0,8.856399999999999,1.0,3.0,198.0,105.67476
71,奶油草莓,14.474,13.1757%,-15.10%,69.0,-19.2,0.1,69.0,199.0,109.85399999999998
72,优选车厘子XL-1斤,14.474,13.1757%,47.74%,25.3,22.0,1.0,25.3,199.0,109.85399999999998
73,红肉菠萝蜜1斤,14.474,13.1757%,44.34%,23.96,18.8,1.0,23.96,199.0,109.85399999999998
74,佳沛阳光金果36#,14.474,13.1757%,7.25%,38.0,5.080000000000002,1.0,3.8000000000000003,199.0,109.85399999999998
